unit_number,time_cycles,OP_1,OP_2,var_2,var_3,var_4,var_6,var_7,var_8,var_9,var_11,var_12,var_13,var_15,var_17,var_20,var_21
1,1,0.4598,0.1667,0.1837,0.4068,0.3098,1.0000,0.7262,0.2424,0.1098,0.3690,0.6333,0.2059,0.3640,0.3333,0.7132,0.7247
1,2,0.6092,0.2500,0.2831,0.4530,0.3526,1.0000,0.6280,0.2121,0.1002,0.3810,0.7655,0.2794,0.4113,0.3333,0.6667,0.7310
1,3,0.2529,0.7500,0.3434,0.3695,0.3705,1.0000,0.7101,0.2727,0.1400,0.2500,0.7953,0.2206,0.3574,0.1667,0.6279,0.6214
1,4,0.5402,0.5000,0.3434,0.2562,0.3312,1.0000,0.7407,0.3182,0.1245,0.1667,0.8891,0.2941,0.1666,0.3333,0.5736,0.6624
1,5,0.3908,0.3333,0.3494,0.2575,0.4046,1.0000,0.6683,0.2424,0.1500,0.2560,0.7463,0.2353,0.4021,0.4167,0.5891,0.7045
1,6,0.2529,0.4167,0.2681,0.2928,0.2721,1.0000,0.7762,0.1818,0.1254,0.1845,0.6375,0.2206,0.3305,0.2500,0.6512,0.6527
1,7,0.5575,0.5833,0.3825,0.4639,0.2620,1.0000,0.7230,0.1818,0.1678,0.3036,0.7740,0.2206,0.2790,0.3333,0.7442,0.6672
1,8,0.3046,0.7500,0.4066,0.2599,0.3160,1.0000,0.6441,0.1515,0.0856,0.2321,0.8060,0.2206,0.3182,0.2500,0.6434,0.5750
1,9,0.5460,0.5833,0.2741,0.4347,0.2119,1.0000,0.6184,0.2273,0.1110,0.2619,0.6610,0.2500,0.1843,0.3333,0.7054,0.7075
1,10,0.3103,0.5833,0.1506,0.4404,0.3074,1.0000,0.6023,0.2273,0.1345,0.1071,0.6610,0.2647,0.3990,0.4167,0.6279,0.7943
1,11,0.6034,0.2500,0.3223,0.2335,0.3104,1.0000,0.7552,0.2273,0.1251,0.1786,0.5778,0.1912,0.4198,0.3333,0.6202,0.8071
1,12,0.5920,0.6667,0.2560,0.2697,0.3022,1.0000,0.7520,0.2879,0.1240,0.1964,0.6631,0.2059,0.2651,0.2500,0.7132,0.6515
1,13,0.3908,0.8333,0.5602,0.2431,0.3136,1.0000,0.5781,0.3333,0.1126,0.3155,0.6738,0.2941,0.3474,0.4167,0.6124,0.5268
1,14,0.5517,0.5000,0.3434,0.4777,0.2854,1.0000,0.7456,0.2879,0.1150,0.3512,0.6354,0.1765,0.2751,0.4167,0.8062,0.6744
1,15,0.3966,0.2500,0.3675,0.2786,0.3356,1.0000,0.6103,0.3182,0.1368,0.2679,0.8124,0.2941,0.3655,0.2500,0.6589,0.6294
1,16,0.5345,0.9167,0.2771,0.3693,0.3756,1.0000,0.6586,0.2273,0.1239,0.2321,0.5970,0.2794,0.2643,0.3333,0.6434,0.7744
1,17,0.5115,0.6667,0.4127,0.3035,0.2988,1.0000,0.6361,0.2424,0.1489,0.1607,0.6823,0.2353,0.4975,0.3333,0.5194,0.6044
1,18,0.3218,0.4167,0.4247,0.4360,0.2341,1.0000,0.7005,0.2273,0.1248,0.2143,0.6546,0.2794,0.2997,0.3333,0.5814,0.6966
1,19,0.6839,0.2500,0.1747,0.3601,0.3055,1.0000,0.6973,0.2121,0.1448,0.3274,0.6823,0.2206,0.4125,0.2500,0.5116,0.6244
1,20,0.2874,0.5833,0.5512,0.2195,0.3879,1.0000,0.7987,0.2273,0.1085,0.2202,0.7207,0.2059,0.3698,0.3333,0.6899,0.7288
1,21,0.4310,0.5833,0.3494,0.3277,0.2681,1.0000,0.6812,0.3182,0.1185,0.1786,0.7953,0.2941,0.3078,0.3333,0.7364,0.5743
1,22,0.5115,0.5000,0.4699,0.4772,0.3093,1.0000,0.6087,0.2121,0.1772,0.2321,0.7058,0.2206,0.3020,0.3333,0.6047,0.6697
1,23,0.6954,0.2500,0.2801,0.3739,0.2110,1.0000,0.6651,0.2273,0.1102,0.2381,0.6034,0.2500,0.3813,0.3333,0.6202,0.7760
1,24,0.4425,0.7500,0.3524,0.4314,0.2795,1.0000,0.5862,0.3333,0.0989,0.3512,0.7335,0.2206,0.2470,0.3333,0.6667,0.6564
1,25,0.6322,0.1667,0.4699,0.5027,0.2893,1.0000,0.6683,0.1818,0.1455,0.3036,0.8252,0.2059,0.2570,0.4167,0.6279,0.7382
1,26,0.5000,0.6667,0.2861,0.3933,0.2333,1.0000,0.6860,0.2576,0.1139,0.2440,0.7655,0.2647,0.3890,0.5000,0.5581,0.7190
1,27,0.4310,0.1667,0.3705,0.4236,0.3307,1.0000,0.6795,0.1818,0.1177,0.3095,0.7058,0.3676,0.3067,0.4167,0.6589,0.7636
1,28,0.3621,0.9167,0.3434,0.2572,0.2849,1.0000,0.7778,0.3333,0.1261,0.3333,0.8273,0.2941,0.4132,0.1667,0.6744,0.5384
1,29,0.5690,0.4167,0.2108,0.3006,0.3163,1.0000,0.7085,0.2273,0.1290,0.2321,0.7932,0.2647,0.3617,0.4167,0.6124,0.6428
1,30,0.3736,0.5000,0.2982,0.4901,0.2335,1.0000,0.7279,0.2576,0.1072,0.3274,0.7463,0.1765,0.3140,0.1667,0.7054,0.7136
1,31,0.5805,0.9167,0.2440,0.2865,0.2473,1.0000,0.6892,0.2727,0.1662,0.3333,0.6951,0.2647,0.3290,0.3333,0.6202,0.6091
1,32,0.5287,0.2500,0.3373,0.4434,0.3057,1.0000,0.8229,0.2121,0.1312,0.2381,0.6887,0.2794,0.3459,0.3333,0.6822,0.8364
1,33,0.2586,0.1667,0.4518,0.3785,0.3406,1.0000,0.7665,0.2121,0.1140,0.2560,0.6866,0.2941,0.1939,0.3333,0.5349,0.6302
1,34,0.5862,0.4167,0.4006,0.2274,0.3077,1.0000,0.7166,0.1970,0.1110,0.3690,0.6418,0.3088,0.4232,0.3333,0.5194,0.5730
1,35,0.5172,0.6667,0.3705,0.4133,0.3503,1.0000,0.7166,0.2121,0.1078,0.2738,0.6525,0.1912,0.4544,0.2500,0.7674,0.7211
1,36,0.4770,0.3333,0.4006,0.2328,0.3931,1.0000,0.7536,0.1667,0.1024,0.2381,0.7740,0.2353,0.3836,0.3333,0.5581,0.7410
1,37,0.4770,0.5000,0.2349,0.1759,0.2811,1.0000,0.7697,0.2576,0.1513,0.2619,0.7676,0.2353,0.3436,0.3333,0.6589,0.7470
1,38,0.3966,0.3333,0.2169,0.4046,0.2912,1.0000,0.7810,0.2727,0.1505,0.2500,0.7953,0.2941,0.3497,0.3333,0.7132,0.8045
1,39,0.3276,0.4167,0.2410,0.2653,0.3113,1.0000,0.6634,0.1818,0.1347,0.1607,0.7548,0.2500,0.3428,0.3333,0.4341,0.6569
1,40,0.5000,0.1667,0.3102,0.2407,0.3295,1.0000,0.7601,0.2424,0.1402,0.2857,0.6716,0.1912,0.2058,0.3333,0.5426,0.6665
1,41,0.6897,0.8333,0.3584,0.4419,0.3538,1.0000,0.6232,0.2424,0.1223,0.1429,0.7207,0.2206,0.4313,0.3333,0.7674,0.7597
