x,y,yaw,v,w,v_cmd,w_cmd
0.56184375,0.99342966,0.5006313,0.5166335,0.95667267,0.0,0.9534049
0.5642786,0.9934497,0.5006185,0.51020575,0.9563288,0.0,0.9534049
0.5667138,0.9934691,0.5006036,0.5154147,0.9518123,0.0,0.94734055
0.56914985,0.993488,0.5005773,0.5125456,0.95011276,0.0,0.94734055
0.57158566,0.99350643,0.5005515,0.5207381,0.95266926,0.0,0.9513723
0.5740206,0.9935241,0.5005312,0.50364685,0.95408577,0.0,0.9513723
0.5764543,0.99354064,0.5005052,0.51105356,0.9476721,0.0,0.94426364
0.5788878,0.9935559,0.5004785,0.48938894,0.9525163,0.0,0.9444918
0.5805104,0.99356586,0.50046104,0.5152745,0.9504735,0.0,0.9444918
0.58294404,0.99358034,0.50043064,0.5098882,0.94828004,0.0,0.94167227
0.5853777,0.9935938,0.50039935,0.5200858,0.94552237,0.0,0.94167227
0.58781064,0.99360645,0.5003634,0.50739765,0.93954426,0.0,0.9376909
0.59024656,0.9936192,0.50033194,0.5044832,0.947615,0.0,0.9376909
0.59268296,0.99363095,0.5003037,0.51399136,0.9443576,0.0,0.9346002
0.5951191,0.99364114,0.5002615,0.50792027,0.9482213,0.0,0.9280631
0.5975562,0.9936505,0.50020087,0.5276427,0.94224906,0.0,0.9280631
0.59999394,0.9936579,0.50014704,0.53356886,0.9396522,0.0,0.9130958
0.6024293,0.99366295,0.5000674,0.53068686,0.9372787,0.0,0.9130958
0.60486174,0.99366415,0.4999954,0.5046787,0.9366573,0.0,0.9101283
0.60729396,0.99366426,0.4999227,0.48828173,0.9293646,0.0,0.86322725
0.6097229,0.9936621,0.49978572,0.56879044,0.912353,0.0,0.86322725
0.61214936,0.9936542,0.49963027,0.4921155,0.9005719,0.0,0.8518707
0.614576,0.9936449,0.49946648,0.4458437,0.90007496,0.0,0.86102426
0.61701494,0.99363184,0.49933213,0.57671404,0.92077976,0.0,0.86102426
0.6194553,0.9936148,0.4991904,0.54904604,0.90771574,0.0,0.8694407
0.62108314,0.9936011,0.4991155,0.48660278,0.9140933,0.0,0.8694407
0.62352526,0.9935756,0.49898514,0.54858637,0.9225853,0.0,0.8669725
0.6259668,0.9935473,0.49886012,0.559783,0.9066482,0.0,0.8669725
0.6284074,0.993515,0.49872813,0.4730916,0.89934295,0.0,0.8540327
0.63083774,0.9934771,0.49859035,0.45435667,0.90508085,0.0,0.8244079
0.6332643,0.9934355,0.49841166,0.48228216,0.8858077,0.0,0.8244079
0.6356907,0.9933876,0.4982512,0.4710493,0.8925093,0.0,0.8470985
0.6381183,0.99333745,0.4980861,0.5055976,0.9033276,0.0,0.8470985
0.6405437,0.9932833,0.4979186,0.5323696,0.8870207,0.0,0.8454345
0.6429759,0.9932251,0.49775186,0.567544,0.876124,0.0,0.8439817
0.64541924,0.99316144,0.49761403,0.5903344,0.92224205,0.0,0.8439817
0.64786243,0.9930941,0.49747247,0.5716028,0.89488345,0.0,0.8370589
0.65030634,0.99302185,0.49730742,0.5827303,0.91586715,0.0,0.92468053
0.652742,0.9929452,0.49725592,0.4915347,0.9370808,0.0,0.92468053
0.65517753,0.9928675,0.49719805,0.5232105,0.9474457,0.0,0.80902815
0.65760505,0.99278724,0.49701732,0.3987069,0.8847239,0.0,0.82687086
0.6592235,0.9927298,0.49689117,0.440722,0.89676565,0.0,0.82687086
0.66164935,0.9926386,0.49672788,0.42900562,0.9042312,0.0,0.82687086
0.66407526,0.9925437,0.49655515,0.42148542,0.9071917,0.0,0.8272793
0.6665,0.9924418,0.49635366,0.46544123,0.8677086,0.0,0.82581156
0.6689277,0.99233717,0.49615422,0.57022476,0.88622177,0.0,0.82581156
0.67136693,0.9922286,0.49596772,0.46492243,0.88477653,0.0,0.8277225
0.67380965,0.9921138,0.49578187,0.5237756,0.90598744,0.0,0.8277225
0.6762554,0.9919949,0.4956035,0.60760117,0.89303726,0.0,0.7948177
0.6787021,0.9918672,0.495364,0.46043968,0.8698335,0.0,0.7886603
0.68114674,0.9917346,0.49512127,0.49147415,0.8680804,0.0,0.7886603
0.6835803,0.99159336,0.4948519,0.46219015,0.87543106,0.0,0.78697544
0.68600106,0.9914454,0.4946128,0.5143781,0.8682076,0.0,0.78697544
0.6884243,0.99128926,0.4943468,0.3892169,0.8722659,0.0,0.780383
0.69084525,0.9911258,0.4941045,0.47954607,0.8693115,0.0,0.7804013
0.69326395,0.99095654,0.49381918,0.47427082,0.84713954,0.0,0.7727017
0.69568586,0.9907805,0.49354604,0.5595379,0.84313756,0.0,0.7727017
0.69730854,0.99065804,0.49333015,0.5947385,0.86017966,0.0,0.7727017
0.699758,0.9904655,0.49308094,0.6300998,0.8426488,0.0,0.7671121
0.7022059,0.9902667,0.49281925,0.569736,0.8572523,0.0,0.76269734
0.70465446,0.9900607,0.49252898,0.43493128,0.86903214,0.0,0.76269734
0.7071049,0.9898461,0.49223894,0.46554422,0.81551397,0.0,0.7343352
0.7095379,0.9896246,0.49185595,0.40894127,0.82349086,0.0,0.7222166
0.71196544,0.9893886,0.49143448,0.41167593,0.8424363,0.0,0.7222166
0.71438146,0.98913974,0.4910734,0.4474144,0.85241973,0.0,0.6903867
0.71678835,0.9888855,0.49075454,0.53880405,0.8087582,0.0,0.6903867
0.7191952,0.9886201,0.4904105,0.4219141,0.7958038,0.0,0.69077015
0.72160697,0.9883443,0.48997244,0.5917878,0.8364372,0.0,0.68229544
0.7240364,0.9880537,0.4895869,0.58743,0.7917316,0.0,0.68229544
0.7264843,0.9877489,0.48904824,0.35680056,0.81008494,0.0,0.6371021
0.7289399,0.9874296,0.48848638,0.66465807,0.7426631,0.0,0.6371021
0.73140156,0.9870924,0.48796615,0.3788371,0.8215295,0.0,0.6281915
0.7338623,0.98674387,0.48748368,0.41160917,0.7765099,0.0,0.6136558
0.7362848,0.986379,0.4868598,0.58845186,0.7253523,0.0,0.6103396
0.7379014,0.9861247,0.48640096,0.42168283,0.7289231,0.0,0.6103396
0.74031156,0.98573315,0.48581052,0.30553675,0.7828263,0.0,0.6062858
0.7427013,0.98533237,0.48535118,0.35353613,0.81378126,0.0,0.6062858
0.745093,0.98490924,0.4848793,0.6664376,0.73836344,0.0,0.550845
0.74748635,0.98447514,0.48418888,0.42684698,0.68783534,0.0,0.550845
0.74990463,0.98401606,0.4834843,0.34988546,0.7273021,0.0,0.5100479
0.7523261,0.98353696,0.48266178,0.36158705,0.58476377,0.0,0.5100479
0.7547889,0.9830286,0.4818845,0.6853337,0.7133408,0.0,0.50791407
0.7572447,0.98250425,0.48110136,0.76146317,0.7142428,0.0,0.5366572
0.7597022,0.9819542,0.48045036,0.63988876,0.68364596,0.0,0.5366572
0.7621092,0.98138094,0.4797174,0.48304415,0.66169316,0.0,0.52026737
0.76452,0.98078775,0.47886714,0.4327426,0.62029827,0.0,0.52026737
0.7669302,0.9801832,0.477961,0.5524769,0.66367257,0.0,0.52424246
0.76930755,0.9795599,0.47728077,0.61336565,0.7910599,0.0,0.508754
0.77167344,0.97891295,0.4766753,0.49283886,0.74354184,0.0,0.48227406
0.7740541,0.9782485,0.47592974,0.7611337,0.6096811,0.0,0.48227406
0.7756551,0.9777932,0.47519186,0.3472438,0.5899552,0.0,0.48227406
0.7780656,0.9770711,0.47444195,0.3297186,0.6321999,0.0,0.45567477
0.78046775,0.97634685,0.47332337,0.3685956,0.56564367,0.0,0.41699052
0.7829246,0.97556055,0.47260413,0.46452332,0.68393815,0.0,0.41699052
0.785363,0.974771,0.4715042,0.43771696,0.5358542,0.0,0.40389293
0.7877551,0.97395813,0.47043395,0.52706146,0.58365154,0.0,0.39399832
0.79013556,0.9731052,0.46937752,0.57251024,0.53284836,0.0,0.39399832
0.7925206,0.97222614,0.46825862,0.38877058,0.5248581,0.0,0.3611399
0.7949033,0.97131574,0.46701035,0.6455579,0.47566503,0.0,0.3611399
0.7972367,0.97038496,0.46579254,0.10737944,0.6343424,0.0,0.3471449
0.7996161,0.9694029,0.4648494,0.74341345,0.65351975,0.0,0.37800384
0.80199265,0.96839905,0.46422857,0.61612654,0.808695,0.0,0.37800384
0.80437505,0.9673586,0.4630637,0.21476221,0.49398568,0.0,0.2874645
0.8067461,0.96630156,0.46154878,0.21129274,0.31462663,0.0,0.2874645
0.8091147,0.9651884,0.45965317,0.31634092,0.25665385,0.0,0.26401818
0.81147057,0.96408784,0.45782503,0.32356453,0.3706962,0.0,0.2856084
0.8138162,0.9629212,0.45627907,0.31674385,0.43479586,0.0,0.2856084
