t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,3.145325202495426,2.75051068107837,0.004330638649948345,0.2503939943950369,-0.0005004200436642273,0.25,-0.004263813249541988
0.1,3.1708360195909973,2.750621891438062,0.004250834481270105,0.2501604087369496,-0.0005578044742883051,0.25,-0.004263813249541988
0.2,3.19635058078729,2.7507299867639086,0.0041571051837260686,0.25034970828798253,-0.0013114105770084784,0.25,-0.006254916339666601
0.3,3.2218737439465457,2.750835420268119,0.003991748536803456,0.25024540641536575,-0.0015949951554059974,0.25,-0.006254916339666601
0.4,3.247395489843002,2.7509381038965732,0.0038298576695394377,0.2505431588271314,-0.0011684168184548265,0.25,-0.004931165182759014
0.5,3.272907475019585,2.751036359615541,0.0037021562935460983,0.2499220303665914,-0.0009320733113737938,0.25,-0.004931165182759014
0.6,3.2984057934809337,2.7511284803336817,0.003538871168055565,0.25019120668347195,-0.002002241157092742,0.25,-0.007265176512395291
0.7,3.3239030581919833,2.751213260480464,0.003371286496887139,0.24940389298393414,-0.0011939350549203984,0.25,-0.007190262055207543
0.8,3.340902736887001,2.751268863186962,0.003261321332104675,0.25034460236766176,-0.0015348132594264201,0.25,-0.007190262055207543
0.9,3.366401570552233,2.7513497922189813,0.003070604410313333,0.2501488560303585,-0.001900813914963736,0.25,-0.008116009062085714
1.0,3.3918999480568854,2.7514242263368787,0.0028738445208004054,0.25051945484538835,-0.002360945909855376,0.25,-0.008116009062085714
1.1,3.417391127199768,2.7514952217812843,0.0026481884179899748,0.25005833707421077,-0.0033584471295608626,0.25,-0.009423195879978221
1.2,3.4429134822854803,2.7515657558929294,0.0024503578360874595,0.2499524369285265,-0.002011770909352552,0.25,-0.009423195879978221
1.3,3.468440663400861,2.751631224827318,0.002272832507531518,0.2502979548160615,-0.0025552952288799354,0.25,-0.010437986451240652
1.4,3.4939650427816336,2.7516880906012755,0.0020076287489860616,0.25007733008213745,-0.0019105985676704117,0.25,-0.012584316879901844
1.5,3.5194993886246078,2.7517401798571415,0.0016270184212129933,0.25079408382996526,-0.002907129790205855,0.25,-0.012584316879901844
1.6,3.5450409438394095,2.751781183036938,0.0012888335618670328,0.2510094419744714,-0.0033404375347698065,0.25,-0.017498570108287877
1.7,3.5705574477816535,2.7518092604986824,0.0007886832693361859,0.2509047009292253,-0.0037364776073276914,0.25,-0.017498570108287877
1.8,3.5960432162109233,2.75181603075217,0.00033623860146216874,0.249959553339048,-0.0038401580875368113,0.25,-0.01847287444369989
1.9,3.6215264794257513,2.7518168428038345,-0.00012065934121854657,0.2493636466713765,-0.005057012946805215,0.25,-0.03387196208188897
2.0,3.6469755358439193,2.7518050558845215,-0.0009811340871279067,0.25228943351765803,-0.007895554809999894,0.25,-0.03387196208188897
2.1,3.6723985781686928,2.7517607001148474,-0.001957662240760669,0.24950296683718232,-0.009861333665685455,0.25,-0.03760067124951467
2.2,3.697823305278533,2.7517090689341925,-0.0029865812698718483,0.2478213901433337,-0.009944251789835898,0.25,-0.03459528134051537
2.3,3.7233772149003355,2.7516360933322934,-0.0038305251164056585,0.2525773841954292,-0.006489471557906936,0.25,-0.03459528134051537
2.4,3.74894564049211,2.751541038628388,-0.004721065855529095,0.2515718952332479,-0.008669320635933857,0.25,-0.031831902126594924
2.5,3.7660012039880004,2.7514650383312143,-0.005191430117240635,0.24930264005729785,-0.0076051556593188145,0.25,-0.031831902126594924
2.6,3.7915890564410812,2.751323031228862,-0.006010447086130927,0.25155521333308506,-0.006188200873483111,0.25,-0.032642271148650426
2.7,3.8171695153408276,2.7511655093241423,-0.006795792640063213,0.25196209182477314,-0.008847440271877121,0.25,-0.032642271148650426
2.8,3.8427412700346006,2.750985552060703,-0.007624968873519201,0.2488116224469281,-0.010066389370254567,0.25,-0.036890818792965005
2.9,3.868204871209211,2.7507745993928956,-0.008490529415361745,0.24813077059835228,-0.009108972205371733,0.25,-0.046617575888425376
3.0,3.893628559694191,2.7505428835801444,-0.009613058312157592,0.24914560940581176,-0.012324874388963843,0.25,-0.046617575888425376
3.1,3.9190513514961864,2.7502760225866223,-0.010621044863071393,0.2487373962638754,-0.011206645309252921,0.25,-0.039167530281536064
3.2,3.9444866893856014,2.7499972533800214,-0.011658348901947573,0.2499929349836026,-0.009401523434113278,0.25,-0.039167530281536064
3.3,3.9698986249351127,2.7496952004030293,-0.012710432327221018,0.25096584744569633,-0.012122466593466006,0.25,-0.039713880207145585
3.4,3.9953820855429196,2.749371567468491,-0.013757909615362243,0.252244137925786,-0.013940672845915002,0.25,-0.04019087714487033
3.5,4.020981386949254,2.7490169861643294,-0.014623979472258448,0.2530723884004701,-0.0062454753393130415,0.25,-0.04019087714487033
3.6,4.046579805943763,2.74864197285399,-0.015513105031868257,0.25239163744733767,-0.010810500968897364,0.25,-0.042463855562264764
3.7,4.0721854003054325,2.748239580699217,-0.016550061915134164,0.2527960197370123,-0.007309180688863588,0.25,-0.013694924235163518
3.8,4.0977060652257915,2.747813076088263,-0.01687348399975004,0.24948187405571876,-0.0037694987931793577,0.25,-0.013694924235163518
3.9,4.123223097376927,2.7473804741451673,-0.0172371409583912,0.25063299112035753,-0.0020400159741933164,0.25,-0.05166723113913432
4.0,4.148657671508998,2.746933360436546,-0.018372458518046808,0.24610839315503183,-0.012505705694466311,0.25,-0.045808910977483346
4.1,4.1656145394608055,2.7466137639411436,-0.0191649399611665,0.2476352550197547,-0.01049643768047831,0.25,-0.045808910977483346
4.2,4.1910308712820665,2.746105989297645,-0.020190691737696245,0.24720948589357153,-0.009250752548833063,0.25,-0.045808910977483346
4.3,4.21644829224585,2.7455774824566523,-0.021275870154307652,0.24693617757187117,-0.008756757144712378,0.25,-0.04567478385595922
4.4,4.241853900650361,2.7450095695058256,-0.022541698712017496,0.24853358954477137,-0.015344858695361266,0.25,-0.046156699496358866
4.5,4.267290325158351,2.7444273680968405,-0.02379463101738643,0.2523415640644269,-0.012255782932830953,0.25,-0.046156699496358866
4.6,4.292846442644141,2.743822815081651,-0.02496616141973212,0.2485147443085652,-0.012496925523306002,0.25,-0.04552928551816776
4.7,4.318439951039346,2.743183507041349,-0.026133698730286342,0.2506535251291513,-0.008957700224237848,0.25,-0.04552928551816776
4.8,4.3440652368035355,2.742521669462515,-0.027254248449567017,0.2536998669216925,-0.011118547355829327,0.25,-0.056332957780433505
4.9,4.369701073387615,2.7418104365458262,-0.02875870002456859,0.24835181865696299,-0.014990300293488917,0.25,-0.058354632791479885
5.0,4.395313752978374,2.741072337948782,-0.030283685520369693,0.24947965928916907,-0.015282827890749983,0.25,-0.058354632791479885
5.1,4.420811243622424,2.740285966084881,-0.03197591787455999,0.24841545436783005,-0.014056302592573807,0.25,-0.05890782162315715
5.2,4.4461746221327045,2.739462194509997,-0.033477896465461794,0.2503120352528872,-0.01526159881636796,0.25,-0.05890782162315715
5.3,4.471563880675668,2.7385924497909215,-0.03514911651997958,0.24576350691899038,-0.0145844413625876,0.25,-0.06107232444845223
5.4,4.496929020126253,2.7376823035556135,-0.03667121498306819,0.24904616505524235,-0.015077402706734855,0.25,-0.061066322835913074
5.5,4.522271184538834,2.7367397760262695,-0.03846364354329029,0.24885447123429966,-0.018776986597582052,0.25,-0.06359435438726403
5.6,4.547646937838953,2.7357597435957937,-0.040179420164730376,0.25195316959606,-0.01944476357505419,0.25,-0.06359435438726403
5.7,4.564647758423091,2.735077639456234,-0.041535675287032295,0.25323240942940445,-0.016601128120687418,0.25,-0.06359435438726403
5.8,4.590312077576966,2.734005670433306,-0.04310124654959785,0.25451751441126147,-0.019526314062992198,0.25,-0.06542957904791465
5.9,4.61595969100719,2.7328984198615713,-0.044745205857082374,0.2523238133902101,-0.01708958685546157,0.25,-0.06687907832040768
6.0,4.641613894145982,2.731751773983918,-0.04656887490520898,0.24742482577610486,-0.015124015855469786,0.25,-0.06687907832040768
6.1,4.667288910231374,2.7305570181398378,-0.04839078891202998,0.2485373369281717,-0.0240539983348433,0.25,-0.07619128419335515
6.2,4.692780531895168,2.729323685002964,-0.05079692205647393,0.24648030560302536,-0.022722976697731687,0.25,-0.08017016694264506
6.3,4.718214958035867,2.728009245715223,-0.05344450499610246,0.24657968677223221,-0.019561767381579873,0.25,-0.08017016694264506
6.4,4.743528436972702,2.726623834510856,-0.05571294799091888,0.24787846782089612,-0.017895946080391766,0.25,-0.0906209257406434
6.5,4.768746153097894,2.725208403547287,-0.05771601575249058,0.25119969801714187,-0.025181263282580104,0.25,-0.0906209257406434
6.6,4.7939639659394535,2.7237303332176315,-0.059877219568352825,0.24695176526592752,-0.02734281755917706,0.25,-0.09049502568348543
6.7,4.8192332035113035,2.7221946557106724,-0.06262933052406854,0.25312520090013574,-0.02056276998698849,0.25,-0.09327755215549183
6.8,4.844687311158255,2.7205762235941835,-0.06505129122038916,0.25296682934515163,-0.028022297177648585,0.25,-0.09327755215549183
6.9,4.870335239533208,2.718879577789156,-0.06843527801651235,0.24458545925280561,-0.024959881221924333,0.25,-0.10811592535166464
7.0,4.896063346564036,2.7171014159666167,-0.07196493120003503,0.2557733976785208,-0.0362098081795208,0.25,-0.10811592535166464
7.1,4.921855016830933,2.715223615554085,-0.07523303512469712,0.24538629402288362,-0.023050251071127695,0.25,-0.11104157308279694
7.2,4.9476371120858955,2.7132832658685913,-0.07826396480059457,0.24657727759382722,-0.03056217141638904,0.25,-0.11581407771999258
