t,x,y,yaw,v,w,v_cmd,w_cmd
0.0,5.50300714,2.68873749,-0.17417192,0.2625247,-0.09154062,0.25,-0.26389004
0.1,5.52753137,2.68437656,-0.18286788,0.24581619,-0.0850731,0.25,-0.26389004
0.2,5.55210304,2.67975075,-0.19087137,0.24431127,-0.0892898,0.25,-0.25981819
0.3,5.57709224,2.67486704,-0.20137219,0.24302495,-0.11777825,0.25,-0.27365126
0.4,5.60220421,2.66953544,-0.21403844,0.24298552,-0.12872993,0.25,-0.27365126
0.5,5.62752975,2.66387252,-0.22688679,0.26772972,-0.10074093,0.25,-0.26278566
0.6,5.65289337,2.65802441,-0.23699541,0.26457018,-0.09649895,0.25,-0.26522303
0.7,5.67802002,2.65198667,-0.24756829,0.24670013,-0.11292994,0.25,-0.26522303
0.8,5.69450948,2.64789799,-0.25511118,0.25572131,-0.11772623,0.25,-0.25945508
0.9,5.71925166,2.64138213,-0.26689835,0.25582859,-0.10513906,0.25,-0.25945508
1.0,5.74381366,2.63451067,-0.27846921,0.24538143,-0.11412185,0.25,-0.2600779
1.1,5.76836856,2.62734392,-0.29105761,0.24028926,-0.13069813,0.25,-0.2553485
1.2,5.7923318,2.62013216,-0.304757,0.24882798,-0.12213984,0.25,-0.2553485
1.3,5.81654648,2.61247022,-0.31613411,0.23893607,-0.10154349,0.25,-0.23047031
1.4,5.84071357,2.60452376,-0.32209833,0.26578939,-0.04065844,0.25,-0.23047031
1.5,5.86488,2.59639008,-0.32615306,0.26696667,-0.03524114,0.25,-0.2291514
1.6,5.8891256,2.58820199,-0.3329744,0.26446058,-0.07127542,0.25,-0.22766623
1.7,5.91327069,2.57979826,-0.34346858,0.25076218,-0.11522974,0.25,-0.23474602
1.8,5.93714421,2.57127034,-0.35412833,0.24935057,-0.10180186,0.25,-0.23474602
1.9,5.9610141,2.56284762,-0.3653948,0.25048217,-0.11351329,0.25,-0.2371619
2.0,5.98477802,2.55378263,-0.37692789,0.25316687,-0.10625644,0.25,-0.2371619
2.1,6.00854012,2.54436408,-0.38734529,0.24689809,-0.11433367,0.25,-0.23475379
2.2,6.03218543,2.53463889,-0.39725334,0.24438216,-0.08869439,0.25,-0.23084943
2.3,6.05645402,2.52464657,-0.4049801,0.25874066,-0.06879912,0.25,-0.23084943
2.4,6.08071749,2.51447202,-0.41248842,0.24857267,-0.08908925,0.25,-0.23258544
2.5,6.0962303,2.50791926,-0.41922913,0.24286718,-0.11159284,0.25,-0.23258544
2.6,6.11944335,2.49786787,-0.43093413,0.26238486,-0.10561724,0.25,-0.24502716
2.7,6.14250375,2.48718079,-0.44096774,0.26198819,-0.09740607,0.25,-0.24502716
2.8,6.16527898,2.4763557,-0.44774659,0.23639786,-0.0785752,0.25,-0.23959727
2.9,6.18769116,2.46551871,-0.4578196,0.23709547,-0.09990227,0.25,-0.23637696
3.0,6.21034147,2.45432265,-0.46939217,0.24956581,-0.10510504,0.25,-0.23637696
3.1,6.2329943,2.44348099,-0.48088878,0.24865027,-0.11634157,0.25,-0.23925719
3.2,6.25557824,2.43186066,-0.49221784,0.24496577,-0.10932874,0.25,-0.23925719
3.3,6.27801368,2.41992971,-0.50292847,0.25185413,-0.09485309,0.25,-0.22583967
3.4,6.30102495,2.40737563,-0.5113075,0.25850895,-0.07892693,0.25,-0.22401555
3.5,6.32414868,2.39465459,-0.51929258,0.25314184,-0.0759206,0.25,-0.22721877
3.6,6.34704847,2.38169617,-0.52745395,0.26255626,-0.08114957,0.25,-0.22721877
3.7,6.36904319,2.36884622,-0.53636286,0.26168361,-0.08349274,0.25,-0.24270274
3.8,6.39084756,2.35567859,-0.54399323,0.23387083,-0.07273938,0.25,-0.24270274
3.9,6.41213187,2.34276596,-0.5554644,0.24872685,-0.13139232,0.25,-0.22582969
4.0,6.43330372,2.32957751,-0.56644398,0.2443771,-0.08728635,0.25,-0.22936732
4.1,6.44720818,2.32058358,-0.57252982,0.24685406,-0.10358079,0.25,-0.22936732
4.2,6.4681576,2.30698226,-0.58226499,0.24866653,-0.090744,0.25,-0.22074997
4.3,6.48944294,2.29315516,-0.59193902,0.24699499,-0.09891422,0.25,-0.22074997
4.4,6.51068268,2.27885678,-0.60215029,0.25404137,-0.09738106,0.25,-0.21874753
4.5,6.53206268,2.26410522,-0.61136478,0.25938818,-0.08508759,0.25,-0.21874753
4.6,6.55340941,2.24913273,-0.62019686,0.24315113,-0.08886402,0.25,-0.22160464
4.7,6.57488857,2.23399476,-0.62923618,0.25720777,-0.08585359,0.25,-0.21988821
4.8,6.5962461,2.21872537,-0.63775251,0.2444074,-0.082254,0.25,-0.21988821
4.9,6.6166406,2.20381132,-0.64774899,0.24334036,-0.09823251,0.25,-0.22079957
5.0,6.63664571,2.18882026,-0.65734945,0.24259496,-0.09399999,0.25,-0.2352809
5.1,6.65639232,2.17365323,-0.66677243,0.24637828,-0.10229404,0.25,-0.2352809
5.2,6.67593968,2.15807284,-0.6768479,0.23844636,-0.10051111,0.25,-0.22289826
5.3,6.69537062,2.14234622,-0.68454838,0.25159332,-0.07445773,0.25,-0.23006491
5.4,6.71477858,2.12635885,-0.69440823,0.25386645,-0.10157252,0.25,-0.23006491
5.5,6.73463432,2.10962035,-0.70444727,0.25579731,-0.09544414,0.25,-0.22408963
5.6,6.75426882,2.09250876,-0.7144543,0.2612802,-0.09829219,0.25,-0.22172165
5.7,6.76725622,2.08094622,-0.72099655,0.25777478,-0.09701351,0.25,-0.22172165
5.8,6.7866678,2.06372668,-0.73071654,0.24547956,-0.09741365,0.25,-0.22172165
5.9,6.80600816,2.04628701,-0.73993692,0.25090355,-0.08921142,0.25,-0.21692998
6.0,6.82487664,2.02904275,-0.74910602,0.24894087,-0.08954913,0.25,-0.21766446
6.1,6.8434267,2.01163702,-0.75834289,0.24547404,-0.0893902,0.25,-0.21766446
6.2,6.8617001,1.99476067,-0.76744963,0.24725873,-0.09017644,0.25,-0.22031951
6.3,6.87982132,1.97792694,-0.77679305,0.24237436,-0.09226511,0.25,-0.22031951
6.4,6.89764762,1.96052368,-0.78628393,0.2450544,-0.09699571,0.25,-0.23193651
6.5,6.9154177,1.94260231,-0.79618431,0.25247327,-0.11346866,0.25,-0.21451798
6.6,6.93320482,1.92428207,-0.80646886,0.25561648,-0.10925924,0.25,-0.21451798
6.7,6.95109121,1.90543296,-0.8174825,0.25587694,-0.09680729,0.25,-0.2140107
6.8,6.96866821,1.88627236,-0.82638062,0.25667999,-0.084599,0.25,-0.2067186
6.9,6.98607761,1.86677901,-0.83480495,0.25637791,-0.08009644,0.25,-0.2067186
7.0,7.00328699,1.84759786,-0.84351051,0.2480919,-0.08970969,0.25,-0.21122296
7.1,7.02033849,1.82848759,-0.85286421,0.25436508,-0.09416785,0.25,-0.20872871
7.2,7.0371861,1.80921277,-0.86219594,0.24589283,-0.09025852,0.25,-0.20872871
7.3,7.05361415,1.78995854,-0.87129165,0.24626258,-0.08232731,0.25,-0.2072276
7.4,7.06448001,1.77758383,-0.87671511,0.24347308,-0.07909385,0.25,-0.2072276
7.5,7.08057932,1.75865106,-0.88487525,0.24115653,-0.07835019,0.25,-0.21288557
7.6,7.09657137,1.73915246,-0.89212799,0.25171715,-0.09350724,0.25,-0.21288557
7.7,7.11250983,1.71918208,-0.90008079,0.24714492,-0.08910463,0.25,-0.21357887
7.8,7.12838779,1.69922983,-0.90931123,0.2559168,-0.09296242,0.25,-0.21356313
7.9,7.14421018,1.6786565,-0.9190873,0.25726393,-0.08501948,0.25,-0.21356313
