T,p_f,spec_idx,spec_label,t_r,t_c,t_v
10,0.0,0,$\varphi_1$,1.6721,29.5302,31.2023
10,0.005,0,$\varphi_1$,13.0648,6.6333,19.6981
10,0.01,0,$\varphi_1$,12.9447,6.6577,19.6024
10,0.05,0,$\varphi_1$,12.9547,6.6874,19.6421
10,0.1,0,$\varphi_1$,13.0199,6.6312,19.6511
15,0.0,0,$\varphi_1$,11.4799,94.3444,105.8243
15,0.005,0,$\varphi_1$,85.1597,7.8937,93.0534
15,0.01,0,$\varphi_1$,51.1601,7.5833,58.7434
15,0.05,0,$\varphi_1$,50.7974,7.5781,58.3755
15,0.1,0,$\varphi_1$,51.0091,7.5923,58.6014
20,0.0,0,$\varphi_1$,89.2901,65057.4187,65146.7088
20,0.005,0,$\varphi_1$,585.2051,2902.4402,3487.6453
20,0.01,0,$\varphi_1$,318.3071,2133.735,2452.0421
20,0.05,0,$\varphi_1$,254.3046,2044.7151,2299.0197
20,0.1,0,$\varphi_1$,155.1565,1995.6202,2150.7767
25,0.0,0,$\varphi_1$,99.6613,2584.0831,2683.7444
25,0.005,0,$\varphi_1$,1338.36,2.7933,1341.1533
25,0.01,0,$\varphi_1$,881.2771,2.5851,883.8622
25,0.05,0,$\varphi_1$,599.8715,2.7042,602.5757
25,0.1,0,$\varphi_1$,315.4188,3.003,318.42179999999996
10,0.0,1,$\varphi_2$,1.6721,11.7396,13.4117
10,0.005,1,$\varphi_2$,13.0648,2.1833,15.2481
10,0.01,1,$\varphi_2$,12.9447,2.1602,15.104899999999999
10,0.05,1,$\varphi_2$,12.9547,2.1959,15.1506
10,0.1,1,$\varphi_2$,13.0199,2.168,15.187899999999999
15,0.0,1,$\varphi_2$,11.4799,36.6894,48.1693
15,0.005,1,$\varphi_2$,85.1597,6.6398,91.7995
15,0.01,1,$\varphi_2$,51.1601,6.4574,57.6175
15,0.05,1,$\varphi_2$,50.7974,6.7094,57.506800000000005
15,0.1,1,$\varphi_2$,51.0091,6.4393,57.4484
20,0.0,1,$\varphi_2$,89.2901,287.0701,376.3602
20,0.005,1,$\varphi_2$,585.2051,12.4972,597.7023
20,0.01,1,$\varphi_2$,318.3071,11.4862,329.7933
20,0.05,1,$\varphi_2$,254.3046,11.0788,265.3834
20,0.1,1,$\varphi_2$,155.1565,10.8506,166.00709999999998
25,0.0,1,$\varphi_2$,99.6613,133.6589,233.3202
25,0.005,1,$\varphi_2$,1338.36,0.6119,1338.9719
25,0.01,1,$\varphi_2$,881.2771,0.5424,881.8195000000001
25,0.05,1,$\varphi_2$,599.8715,0.5703,600.4418
25,0.1,1,$\varphi_2$,315.4188,0.5644,315.98319999999995
10,0.0,2,$\varphi_3$,1.6721,234.5854,236.2575
10,0.005,2,$\varphi_3$,13.0648,40.4326,53.4974
10,0.01,2,$\varphi_3$,12.9447,40.2189,53.163599999999995
10,0.05,2,$\varphi_3$,12.9547,40.217,53.1717
10,0.1,2,$\varphi_3$,13.0199,40.3787,53.3986
15,0.0,2,$\varphi_3$,11.4799,1254.4139,1265.8938
15,0.005,2,$\varphi_3$,85.1597,188.5476,273.7073
15,0.01,2,$\varphi_3$,51.1601,185.9044,237.0645
15,0.05,2,$\varphi_3$,50.7974,185.1702,235.9676
15,0.1,2,$\varphi_3$,51.0091,186.3213,237.3304
20,0.0,2,$\varphi_3$,89.2901,10465.9792,10555.2693
20,0.005,2,$\varphi_3$,585.2051,416.3887,1001.5938
20,0.01,2,$\varphi_3$,318.3071,360.2976,678.6047
20,0.05,2,$\varphi_3$,254.3046,346.1819,600.4865
20,0.1,2,$\varphi_3$,155.1565,338.551,493.7075
25,0.0,2,$\varphi_3$,99.6613,4470.2805,4569.9418
25,0.005,2,$\varphi_3$,1338.36,4.0299,1342.3899
25,0.01,2,$\varphi_3$,881.2771,4.0401,885.3172000000001
25,0.05,2,$\varphi_3$,599.8715,3.8819,603.7533999999999
25,0.1,2,$\varphi_3$,315.4188,3.8681,319.2869
10,0.0,3,$\varphi_4$,1.6721,10.2596,11.931700000000001
10,0.005,3,$\varphi_4$,13.0648,2.1636,15.2284
10,0.01,3,$\varphi_4$,12.9447,2.1792,15.123899999999999
10,0.05,3,$\varphi_4$,12.9547,2.2081,15.1628
10,0.1,3,$\varphi_4$,13.0199,2.1952,15.2151
15,0.0,3,$\varphi_4$,11.4799,39.385,50.8649
15,0.005,3,$\varphi_4$,85.1597,6.5205,91.6802
15,0.01,3,$\varphi_4$,51.1601,6.4138,57.5739
15,0.05,3,$\varphi_4$,50.7974,6.4891,57.286500000000004
15,0.1,3,$\varphi_4$,51.0091,6.4556,57.46469999999999
20,0.0,3,$\varphi_4$,89.2901,286.3335,375.6236
20,0.005,3,$\varphi_4$,585.2051,12.8001,598.0052000000001
20,0.01,3,$\varphi_4$,318.3071,11.5444,329.8515
20,0.05,3,$\varphi_4$,254.3046,11.0138,265.3184
20,0.1,3,$\varphi_4$,155.1565,10.7407,165.8972
25,0.0,3,$\varphi_4$,99.6613,139.6199,239.2812
25,0.005,3,$\varphi_4$,1338.36,0.5872,1338.9471999999998
25,0.01,3,$\varphi_4$,881.2771,0.5382,881.8153
25,0.05,3,$\varphi_4$,599.8715,0.5652,600.4367
25,0.1,3,$\varphi_4$,315.4188,0.5695,315.9883
10,0.0,4,$\varphi_5$,1.6721,518.4781,520.1502
10,0.005,4,$\varphi_5$,13.0648,96.1013,109.1661
10,0.01,4,$\varphi_5$,12.9447,96.22,109.1647
10,0.05,4,$\varphi_5$,12.9547,95.9436,108.8983
10,0.1,4,$\varphi_5$,13.0199,95.7051,108.725
15,0.0,4,$\varphi_5$,11.4799,57814.9158,57826.3957
15,0.005,4,$\varphi_5$,85.1597,9602.0853,9687.245
15,0.01,4,$\varphi_5$,51.1601,9345.6508,9396.810899999999
15,0.05,4,$\varphi_5$,50.7974,9359.0266,9409.823999999999
15,0.1,4,$\varphi_5$,51.0091,9357.3557,9408.3648
20,0.0,4,$\varphi_5$,89.2901,5105.9328,5195.2229
20,0.005,4,$\varphi_5$,585.2051,221.8065,807.0116
20,0.01,4,$\varphi_5$,318.3071,190.3188,508.6259
20,0.05,4,$\varphi_5$,254.3046,182.3189,436.62350000000004
20,0.1,4,$\varphi_5$,155.1565,178.0061,333.1626
25,0.0,4,$\varphi_5$,99.6613,2978.2709,3077.9322
25,0.005,4,$\varphi_5$,1338.36,2.7969,1341.1569
25,0.01,4,$\varphi_5$,881.2771,2.7815,884.0586000000001
25,0.05,4,$\varphi_5$,599.8715,2.9945,602.866
25,0.1,4,$\varphi_5$,315.4188,2.8871,318.30589999999995
10,0.0,5,$\varphi_6$,1.6721,575.8617,577.5338
10,0.005,5,$\varphi_6$,13.0648,103.7948,116.8596
10,0.01,5,$\varphi_6$,12.9447,104.7695,117.71419999999999
10,0.05,5,$\varphi_6$,12.9547,103.6976,116.6523
10,0.1,5,$\varphi_6$,13.0199,103.742,116.7619
15,0.0,5,$\varphi_6$,11.4799,3728.379,3739.8588999999997
15,0.005,5,$\varphi_6$,85.1597,519.5053,604.6650000000001
15,0.01,5,$\varphi_6$,51.1601,510.0939,561.254
15,0.05,5,$\varphi_6$,50.7974,511.4609,562.2583
15,0.1,5,$\varphi_6$,51.0091,510.7674,561.7765
20,0.0,5,$\varphi_6$,89.2901,35926.0278,36015.3179
