T,p_f,spec_idx,spec_label,conserv_list,consist_list
10,0.0,0,$\varphi_1$,0.0,0.0
10,0.005,0,$\varphi_1$,0.170861,0.170861
10,0.01,0,$\varphi_1$,0.174249,0.174249
10,0.05,0,$\varphi_1$,0.175073,0.175073
10,0.1,0,$\varphi_1$,0.179048,0.179048
15,0.0,0,$\varphi_1$,0.00353,98.769399
15,0.005,0,$\varphi_1$,0.175744,98.604854
15,0.01,0,$\varphi_1$,0.17651,98.860053
15,0.05,0,$\varphi_1$,0.175413,99.209058
15,0.1,0,$\varphi_1$,0.175895,99.278519
20,0.0,0,$\varphi_1$,0.006448,99.104229
20,0.005,0,$\varphi_1$,0.86578,100.0
20,0.01,0,$\varphi_1$,0.276185,99.703826
20,0.05,0,$\varphi_1$,0.275195,99.179221
20,0.1,0,$\varphi_1$,0.275776,99.363276
10,0.0,1,$\varphi_2$,0.0,0.0
10,0.005,1,$\varphi_2$,100.0,100.0
10,0.01,1,$\varphi_2$,100.0,100.0
10,0.05,1,$\varphi_2$,100.0,100.0
10,0.1,1,$\varphi_2$,100.0,100.0
15,0.0,1,$\varphi_2$,0.0,0.0
15,0.005,1,$\varphi_2$,100.0,100.0
15,0.01,1,$\varphi_2$,100.0,100.0
15,0.05,1,$\varphi_2$,100.0,100.0
15,0.1,1,$\varphi_2$,100.0,100.0
20,0.0,1,$\varphi_2$,0.0,0.0
20,0.005,1,$\varphi_2$,100.0,100.0
20,0.01,1,$\varphi_2$,100.0,100.0
20,0.05,1,$\varphi_2$,100.0,100.0
20,0.1,1,$\varphi_2$,100.0,100.0
10,0.0,2,$\varphi_3$,0.003684,99.612744
10,0.005,2,$\varphi_3$,0.173558,99.204804
10,0.01,2,$\varphi_3$,0.174218,99.337329
10,0.05,2,$\varphi_3$,0.173709,99.576017
10,0.1,2,$\varphi_3$,0.173512,99.319076
15,0.0,2,$\varphi_3$,0.003311,98.732363
15,0.005,2,$\varphi_3$,0.17574,98.602869
15,0.01,2,$\varphi_3$,0.176473,98.839482
15,0.05,2,$\varphi_3$,0.175414,99.209641
15,0.1,2,$\varphi_3$,0.175419,99.009937
20,0.0,2,$\varphi_3$,0.006175,99.643364
20,0.005,2,$\varphi_3$,0.865779,100.0
20,0.01,2,$\varphi_3$,0.275954,99.62063
20,0.05,2,$\varphi_3$,0.275195,99.179221
20,0.1,2,$\varphi_3$,0.274355,98.851395
10,0.0,3,$\varphi_4$,0.0,0.0
10,0.005,3,$\varphi_4$,100.0,100.0
10,0.01,3,$\varphi_4$,100.0,100.0
10,0.05,3,$\varphi_4$,100.0,100.0
10,0.1,3,$\varphi_4$,100.0,100.0
15,0.0,3,$\varphi_4$,0.0,0.0
15,0.005,3,$\varphi_4$,100.0,100.0
15,0.01,3,$\varphi_4$,100.0,100.0
15,0.05,3,$\varphi_4$,100.0,100.0
15,0.1,3,$\varphi_4$,100.0,100.0
20,0.0,3,$\varphi_4$,0.0,0.0
20,0.005,3,$\varphi_4$,100.0,100.0
20,0.01,3,$\varphi_4$,100.0,100.0
20,0.05,3,$\varphi_4$,100.0,100.0
20,0.1,3,$\varphi_4$,100.0,100.0
10,0.0,4,$\varphi_5$,0.0,0.0
10,0.005,4,$\varphi_5$,0.17431,0.17431
10,0.01,4,$\varphi_5$,0.177511,0.177511
10,0.05,4,$\varphi_5$,0.173539,0.173539
10,0.1,4,$\varphi_5$,0.175704,0.175704
15,0.0,4,$\varphi_5$,0.0,0.0
15,0.005,4,$\varphi_5$,0.17494,0.17494
15,0.01,4,$\varphi_5$,0.172843,0.172843
15,0.05,4,$\varphi_5$,0.182325,0.182325
15,0.1,4,$\varphi_5$,0.175359,0.175359
20,0.0,4,$\varphi_5$,0.183557,100.0
20,0.005,4,$\varphi_5$,1.144252,100.0
20,0.01,4,$\varphi_5$,0.276945,99.978331
20,0.05,4,$\varphi_5$,0.275276,99.208256
20,0.1,4,$\varphi_5$,0.274687,98.97111
10,0.0,5,$\varphi_6$,0.003498,99.043578
10,0.005,5,$\varphi_6$,0.173713,99.293482
10,0.01,5,$\varphi_6$,0.174085,99.261757
10,0.05,5,$\varphi_6$,0.173595,99.5104
10,0.1,5,$\varphi_6$,0.173343,99.22224
15,0.0,5,$\varphi_6$,0.003482,99.734376
15,0.005,5,$\varphi_6$,0.175924,98.705957
15,0.01,5,$\varphi_6$,0.176037,98.595002
15,0.05,5,$\varphi_6$,0.174865,98.898973
15,0.1,5,$\varphi_6$,0.175766,99.205588
20,0.0,5,$\varphi_6$,0.006352,98.972188
20,0.005,5,$\varphi_6$,0.500446,100.0
20,0.01,5,$\varphi_6$,0.274799,99.203598
20,0.05,5,$\varphi_6$,0.27484,99.051027
20,0.1,5,$\varphi_6$,0.274134,98.771645
