T,p_f,spec_idx,spec_label,t_r,t_c,t_v
10,0.0,0,$\varphi_1$,0.1861,6518.754,6518.9401
10,0.005,0,$\varphi_1$,12.5842,1656.7771,1669.3613
10,0.01,0,$\varphi_1$,12.4942,1632.6087,1645.1029
10,0.05,0,$\varphi_1$,11.9553,1576.3483,1588.3036000000002
10,0.1,0,$\varphi_1$,12.1812,1573.9947,1586.1759
15,0.0,0,$\varphi_1$,0.4687,508.6064,509.0751
15,0.005,0,$\varphi_1$,45.0914,202.2983,247.3897
15,0.01,0,$\varphi_1$,44.6223,202.0037,246.626
15,0.05,0,$\varphi_1$,44.6539,201.2526,245.9065
15,0.1,0,$\varphi_1$,44.4568,200.9926,245.44940000000003
20,0.0,0,$\varphi_1$,3.7855,5651.9431,5655.7286
20,0.005,0,$\varphi_1$,135.2572,445.9731,581.2302999999999
20,0.01,0,$\varphi_1$,129.6286,226.187,355.8156
20,0.05,0,$\varphi_1$,138.0469,234.6604,372.70730000000003
20,0.1,0,$\varphi_1$,137.7737,231.2416,369.0153
25,0.0,0,$\varphi_1$,32.7417,982.7124,1015.4541
25,0.005,0,$\varphi_1$,291.3135,5.6193,296.9328
25,0.01,0,$\varphi_1$,291.101,5.7955,296.8965
25,0.05,0,$\varphi_1$,291.8255,5.7255,297.551
25,0.1,0,$\varphi_1$,282.5382,6.0684,288.6066
10,0.0,1,$\varphi_2$,0.1861,11.731,11.9171
10,0.005,1,$\varphi_2$,12.5842,4.4259,17.0101
10,0.01,1,$\varphi_2$,12.4942,4.2127,16.706899999999997
10,0.05,1,$\varphi_2$,11.9553,4.225,16.1803
10,0.1,1,$\varphi_2$,12.1812,4.2895,16.4707
15,0.0,1,$\varphi_2$,0.4687,33.4255,33.8942
15,0.005,1,$\varphi_2$,45.0914,12.3621,57.4535
15,0.01,1,$\varphi_2$,44.6223,12.4661,57.08840000000001
15,0.05,1,$\varphi_2$,44.6539,12.4894,57.143299999999996
15,0.1,1,$\varphi_2$,44.4568,12.4834,56.940200000000004
20,0.0,1,$\varphi_2$,3.7855,265.5453,269.3308
20,0.005,1,$\varphi_2$,135.2572,20.835,156.09220000000002
20,0.01,1,$\varphi_2$,129.6286,10.8259,140.4545
20,0.05,1,$\varphi_2$,138.0469,10.7767,148.8236
20,0.1,1,$\varphi_2$,137.7737,10.9328,148.7065
25,0.0,1,$\varphi_2$,32.7417,33.9667,66.70840000000001
25,0.005,1,$\varphi_2$,291.3135,0.3611,291.6746
25,0.01,1,$\varphi_2$,291.101,0.3144,291.4154
25,0.05,1,$\varphi_2$,291.8255,0.3197,292.1452
25,0.1,1,$\varphi_2$,282.5382,0.3385,282.8767
10,0.0,2,$\varphi_3$,0.1861,236.0915,236.2776
10,0.005,2,$\varphi_3$,12.5842,84.2441,96.8283
10,0.01,2,$\varphi_3$,12.4942,80.31,92.80420000000001
10,0.05,2,$\varphi_3$,11.9553,80.4458,92.4011
10,0.1,2,$\varphi_3$,12.1812,81.507,93.68820000000001
15,0.0,2,$\varphi_3$,0.4687,989.8744,990.3431
15,0.005,2,$\varphi_3$,45.0914,391.515,436.6064
15,0.01,2,$\varphi_3$,44.6223,389.5708,434.1931
15,0.05,2,$\varphi_3$,44.6539,388.6499,433.3038
15,0.1,2,$\varphi_3$,44.4568,388.4338,432.8906
20,0.0,2,$\varphi_3$,3.7855,11155.8496,11159.6351
20,0.005,2,$\varphi_3$,135.2572,867.1245,1002.3817
20,0.01,2,$\varphi_3$,129.6286,457.6939,587.3225
20,0.05,2,$\varphi_3$,138.0469,458.6271,596.674
20,0.1,2,$\varphi_3$,137.7737,449.5688,587.3425
25,0.0,2,$\varphi_3$,32.7417,2027.85,2060.5917
25,0.005,2,$\varphi_3$,291.3135,11.6077,302.9212
25,0.01,2,$\varphi_3$,291.101,11.0238,302.1248
25,0.05,2,$\varphi_3$,291.8255,11.3065,303.13199999999995
25,0.1,2,$\varphi_3$,282.5382,11.0489,293.5871
10,0.0,3,$\varphi_4$,0.1861,11.9084,12.0945
10,0.005,3,$\varphi_4$,12.5842,4.3794,16.9636
10,0.01,3,$\varphi_4$,12.4942,4.212,16.7062
10,0.05,3,$\varphi_4$,11.9553,4.212,16.167299999999997
10,0.1,3,$\varphi_4$,12.1812,4.2824,16.4636
15,0.0,3,$\varphi_4$,0.4687,30.7488,31.217499999999998
15,0.005,3,$\varphi_4$,45.0914,12.2076,57.299
15,0.01,3,$\varphi_4$,44.6223,12.4409,57.0632
15,0.05,3,$\varphi_4$,44.6539,12.5,57.1539
15,0.1,3,$\varphi_4$,44.4568,12.4579,56.9147
20,0.0,3,$\varphi_4$,3.7855,264.9421,268.7276
20,0.005,3,$\varphi_4$,135.2572,20.809,156.0662
20,0.01,3,$\varphi_4$,129.6286,10.9907,140.6193
20,0.05,3,$\varphi_4$,138.0469,10.874,148.9209
20,0.1,3,$\varphi_4$,137.7737,10.8564,148.6301
25,0.0,3,$\varphi_4$,32.7417,42.4679,75.2096
25,0.005,3,$\varphi_4$,291.3135,0.319,291.6325
25,0.01,3,$\varphi_4$,291.101,0.3007,291.4017
25,0.05,3,$\varphi_4$,291.8255,0.3504,292.17589999999996
25,0.1,3,$\varphi_4$,282.5382,0.3053,282.8435
10,0.0,4,$\varphi_5$,0.1861,141.2097,141.3958
10,0.005,4,$\varphi_5$,12.5842,51.3685,63.95269999999999
10,0.01,4,$\varphi_5$,12.4942,49.1199,61.6141
10,0.05,4,$\varphi_5$,11.9553,49.1013,61.0566
10,0.1,4,$\varphi_5$,12.1812,49.7364,61.91760000000001
15,0.0,4,$\varphi_5$,0.4687,3477.4275,3477.8961999999997
15,0.005,4,$\varphi_5$,45.0914,799.2744,844.3658
15,0.01,4,$\varphi_5$,44.6223,796.9283,841.5506
15,0.05,4,$\varphi_5$,44.6539,796.8781,841.532
15,0.1,4,$\varphi_5$,44.4568,796.7267,841.1835000000001
20,0.0,4,$\varphi_5$,3.7855,4290.916,4294.7015
