case,T,p_f,spec_idx,spec_label,total_branches,t_r,t_c,t_v
CMAPSS,10,0.0,0,$\varphi_1$,72,1.6721,29.5302,31.2023
CMAPSS,10,0.0,1,$\varphi_2$,72,1.6721,11.7396,13.4117
CMAPSS,10,0.0,2,$\varphi_3$,72,1.6721,234.5854,236.2575
CMAPSS,10,0.0,3,$\varphi_4$,72,1.6721,10.2596,11.931700000000001
CMAPSS,10,0.0,4,$\varphi_5$,72,1.6721,518.4781,520.1502
CMAPSS,10,0.0,5,$\varphi_6$,72,1.6721,575.8617,577.5338
CMAPSS,10,0.005,0,$\varphi_1$,1,13.0648,6.6333,19.6981
CMAPSS,10,0.005,1,$\varphi_2$,1,13.0648,2.1833,15.2481
CMAPSS,10,0.005,2,$\varphi_3$,1,13.0648,40.4326,53.4974
CMAPSS,10,0.005,3,$\varphi_4$,1,13.0648,2.1636,15.2284
CMAPSS,10,0.005,4,$\varphi_5$,1,13.0648,96.1013,109.1661
CMAPSS,10,0.005,5,$\varphi_6$,1,13.0648,103.7948,116.8596
CMAPSS,10,0.01,0,$\varphi_1$,1,12.9447,6.6577,19.6024
CMAPSS,10,0.01,1,$\varphi_2$,1,12.9447,2.1602,15.104899999999999
CMAPSS,10,0.01,2,$\varphi_3$,1,12.9447,40.2189,53.163599999999995
CMAPSS,10,0.01,3,$\varphi_4$,1,12.9447,2.1792,15.123899999999999
CMAPSS,10,0.01,4,$\varphi_5$,1,12.9447,96.22,109.1647
CMAPSS,10,0.01,5,$\varphi_6$,1,12.9447,104.7695,117.71419999999999
CMAPSS,10,0.05,0,$\varphi_1$,1,12.9547,6.6874,19.6421
CMAPSS,10,0.05,1,$\varphi_2$,1,12.9547,2.1959,15.1506
CMAPSS,10,0.05,2,$\varphi_3$,1,12.9547,40.217,53.1717
CMAPSS,10,0.05,3,$\varphi_4$,1,12.9547,2.2081,15.1628
CMAPSS,10,0.05,4,$\varphi_5$,1,12.9547,95.9436,108.8983
CMAPSS,10,0.05,5,$\varphi_6$,1,12.9547,103.6976,116.6523
CMAPSS,10,0.1,0,$\varphi_1$,1,13.0199,6.6312,19.6511
CMAPSS,10,0.1,1,$\varphi_2$,1,13.0199,2.168,15.187899999999999
CMAPSS,10,0.1,2,$\varphi_3$,1,13.0199,40.3787,53.3986
CMAPSS,10,0.1,3,$\varphi_4$,1,13.0199,2.1952,15.2151
CMAPSS,10,0.1,4,$\varphi_5$,1,13.0199,95.7051,108.725
CMAPSS,10,0.1,5,$\varphi_6$,1,13.0199,103.742,116.7619
CMAPSS,15,0.0,0,$\varphi_1$,132,11.4799,94.3444,105.8243
CMAPSS,15,0.0,1,$\varphi_2$,132,11.4799,36.6894,48.1693
CMAPSS,15,0.0,2,$\varphi_3$,132,11.4799,1254.4139,1265.8938
CMAPSS,15,0.0,3,$\varphi_4$,132,11.4799,39.385,50.8649
CMAPSS,15,0.0,4,$\varphi_5$,132,11.4799,57814.9158,57826.3957
CMAPSS,15,0.0,5,$\varphi_6$,132,11.4799,3728.379,3739.8588999999997
CMAPSS,15,0.005,0,$\varphi_1$,2,85.1597,7.8937,93.0534
CMAPSS,15,0.005,1,$\varphi_2$,2,85.1597,6.6398,91.7995
CMAPSS,15,0.005,2,$\varphi_3$,2,85.1597,188.5476,273.7073
CMAPSS,15,0.005,3,$\varphi_4$,2,85.1597,6.5205,91.6802
CMAPSS,15,0.005,4,$\varphi_5$,2,85.1597,9602.0853,9687.245
CMAPSS,15,0.005,5,$\varphi_6$,2,85.1597,519.5053,604.6650000000001
CMAPSS,15,0.01,0,$\varphi_1$,1,51.1601,7.5833,58.7434
CMAPSS,15,0.01,1,$\varphi_2$,1,51.1601,6.4574,57.6175
CMAPSS,15,0.01,2,$\varphi_3$,1,51.1601,185.9044,237.0645
CMAPSS,15,0.01,3,$\varphi_4$,1,51.1601,6.4138,57.5739
CMAPSS,15,0.01,4,$\varphi_5$,1,51.1601,9345.6508,9396.810899999999
CMAPSS,15,0.01,5,$\varphi_6$,1,51.1601,510.0939,561.254
CMAPSS,15,0.05,0,$\varphi_1$,1,50.7974,7.5781,58.3755
CMAPSS,15,0.05,1,$\varphi_2$,1,50.7974,6.7094,57.506800000000005
CMAPSS,15,0.05,2,$\varphi_3$,1,50.7974,185.1702,235.9676
CMAPSS,15,0.05,3,$\varphi_4$,1,50.7974,6.4891,57.286500000000004
CMAPSS,15,0.05,4,$\varphi_5$,1,50.7974,9359.0266,9409.823999999999
CMAPSS,15,0.05,5,$\varphi_6$,1,50.7974,511.4609,562.2583
CMAPSS,15,0.1,0,$\varphi_1$,1,51.0091,7.5923,58.6014
CMAPSS,15,0.1,1,$\varphi_2$,1,51.0091,6.4393,57.4484
CMAPSS,15,0.1,2,$\varphi_3$,1,51.0091,186.3213,237.3304
CMAPSS,15,0.1,3,$\varphi_4$,1,51.0091,6.4556,57.46469999999999
CMAPSS,15,0.1,4,$\varphi_5$,1,51.0091,9357.3557,9408.3648
CMAPSS,15,0.1,5,$\varphi_6$,1,51.0091,510.7674,561.7765
CMAPSS,20,0.0,0,$\varphi_1$,720,89.2901,65057.4187,65146.7088
CMAPSS,20,0.0,1,$\varphi_2$,720,89.2901,287.0701,376.3602
CMAPSS,20,0.0,2,$\varphi_3$,720,89.2901,10465.9792,10555.2693
CMAPSS,20,0.0,3,$\varphi_4$,720,89.2901,286.3335,375.6236
CMAPSS,20,0.0,4,$\varphi_5$,720,89.2901,5105.9328,5195.2229
CMAPSS,20,0.0,5,$\varphi_6$,720,89.2901,35926.0278,36015.3179
CMAPSS,20,0.005,0,$\varphi_1$,6,585.2051,2902.4402,3487.6453
CMAPSS,20,0.005,1,$\varphi_2$,6,585.2051,12.4972,597.7023
CMAPSS,20,0.005,2,$\varphi_3$,6,585.2051,416.3887,1001.5938
CMAPSS,20,0.005,3,$\varphi_4$,6,585.2051,12.8001,598.0052000000001
CMAPSS,20,0.005,4,$\varphi_5$,6,585.2051,221.8065,807.0116
CMAPSS,20,0.005,5,$\varphi_6$,6,585.2051,1459.7732,2044.9783000000002
CMAPSS,20,0.01,0,$\varphi_1$,3,318.3071,2133.735,2452.0421
CMAPSS,20,0.01,1,$\varphi_2$,3,318.3071,11.4862,329.7933
CMAPSS,20,0.01,2,$\varphi_3$,3,318.3071,360.2976,678.6047
CMAPSS,20,0.01,3,$\varphi_4$,3,318.3071,11.5444,329.8515
CMAPSS,20,0.01,4,$\varphi_5$,3,318.3071,190.3188,508.6259
CMAPSS,20,0.01,5,$\varphi_6$,3,318.3071,1244.1467,1562.4538
CMAPSS,20,0.05,0,$\varphi_1$,2,254.3046,2044.7151,2299.0197
CMAPSS,20,0.05,1,$\varphi_2$,2,254.3046,11.0788,265.3834
CMAPSS,20,0.05,2,$\varphi_3$,2,254.3046,346.1819,600.4865
CMAPSS,20,0.05,3,$\varphi_4$,2,254.3046,11.0138,265.3184
CMAPSS,20,0.05,4,$\varphi_5$,2,254.3046,182.3189,436.62350000000004
CMAPSS,20,0.05,5,$\varphi_6$,2,254.3046,1197.6925,1451.9971
CMAPSS,20,0.1,0,$\varphi_1$,1,155.1565,1995.6202,2150.7767
CMAPSS,20,0.1,1,$\varphi_2$,1,155.1565,10.8506,166.00709999999998
CMAPSS,20,0.1,2,$\varphi_3$,1,155.1565,338.551,493.7075
