Category,Model,#Outputs1,#Outputs2,#Counter,ReachTime1,ReachTime2,VerifyTime,TotalTime
AC,AC-1,1,1,2,0.27,0.15,0.06,0.48
AC,AC-2,1,1,2,0.43,0.38,0.05,0.86
AC,AC-3,1,1,2,0.11,0.10,0.02,0.23
AC,AC-4,1,1,2,1.05,0.86,0.27,2.18
AC,AC-5,1,1,2,0.49,0.46,0.05,1.00
AC,AC-6,1,1,2,0.05,0.10,0.02,0.17
AC,AC-7,1,1,2,0.54,0.72,0.05,1.31
AC,AC-8,1,1,2,0.04,0.02,0.04,0.10
AC,AC-9,1,1,2,0.05,0.05,0.02,0.12
AC,AC-10,1,1,2,0.07,0.05,0.01,0.14
AC,AC-11,1,1,2,0.24,0.19,0.09,0.51
AC,AC-12,1,1,2,0.14,0.17,0.02,0.33
BM,BM-1,1,1,2,0.26,0.27,0.03,0.57
BM,BM-2,1,1,2,0.14,0.16,0.07,0.38
BM,BM-3,1,1,2,0.32,0.24,0.05,0.61
BM,BM-4,1,1,2,2.80,2.86,0.26,5.91
BM,BM-5,1,1,2,0.07,0.10,0.02,0.19
BM,BM-6,1,1,2,0.04,0.04,0.01,0.09
BM,BM-7,1,1,2,0.45,0.48,0.06,0.99
BM,BM-8,1,1,2,0.68,0.76,0.05,1.50
GC,GC-1,1,1,2,0.16,0.09,0.02,0.28
GC,GC-2,1,1,2,0.32,0.25,0.09,0.66
GC,GC-3,1,1,2,0.04,0.02,0.01,0.07
GC,GC-4,1,1,2,0.02,0.02,0.04,0.08
GC,GC-5,1,1,2,0.83,0.74,0.08,1.66
